entity,description,primary_keys,foreign_keys,invariants,statuses_enums,evidence_paths
invoiceLineItems,Invoice Line Items,id,invoiceId->invoices.id (onDelete:cascade); productId->products.id (onDelete:restrict); batchId->batches.id (onDelete:restrict),soft_delete:deletedAt,,drizzle/schema.ts
invoicePayments,Invoice Payments Junction Table (FEAT-007),id,paymentId->payments.id (onDelete:cascade); invoiceId->invoices.id (onDelete:restrict); allocatedBy->users.id (onDelete:restrict),soft_delete:deletedAt,,drizzle/schema.ts
invoices,Invoices (Accounts Receivable),id,customerId->clients.id (onDelete:restrict); createdBy->users.id (onDelete:restrict),soft_delete:deletedAt; optimistic_lock:version; unique:[invoiceNumber],status=[DRAFT|SENT|VIEWED|PARTIAL|PAID|OVERDUE|VOID],drizzle/schema.ts
leaderboardDefaultWeights,Leaderboard Default Weights,id,updatedBy->users.id (onDelete:set null),,clientType=[CUSTOMER|SUPPLIER|ALL],drizzle/schema.ts
leaderboardDisplaySettings,Leaderboard Display Settings,id,clientId->clients.id (onDelete:cascade),unique:[clientId],,drizzle/schema-gamification.ts
leaderboardMetricCache,Leaderboard Metric Cache,id,clientId->clients.id (onDelete:cascade),,,drizzle/schema.ts
leaderboardRankHistory,Leaderboard Rank History,id,clientId->clients.id (onDelete:cascade),,,drizzle/schema.ts
leaderboardWeightConfigs,Leaderboard Weight Configurations,id,userId->users.id (onDelete:cascade),soft_delete:deletedAt,clientType=[CUSTOMER|SUPPLIER|ALL],drizzle/schema.ts
ledgerEntries,General Ledger Entries,id,,soft_delete:deletedAt; unique:[entryNumber],,drizzle/schema.ts
liveShoppingSessions,Live Shopping Sessions,id,hostUserId->users.id (onDelete:restrict); clientId->clients.id (onDelete:restrict),soft_delete:deletedAt; unique:[roomCode],status=[SCHEDULED|ACTIVE|PAUSED|ENDED|CONVERTED|CANCELLED],drizzle/schema-live-shopping.ts
locations,Locations table,id,,soft_delete:deletedAt,,drizzle/schema.ts
lots,Lots table,id,supplierClientId->clients.id (onDelete:restrict),soft_delete:deletedAt; unique:[code],,drizzle/schema.ts
matchRecords,Match Records,id,clientNeedId->clientNeeds.id (onDelete:set null); clientId->clients.id (onDelete:cascade); inventoryBatchId->batches.id (onDelete:set null); vendorSupplyId->vendorSupply.id (onDelete:set null); historicalOrderId->orders.id (onDelete:set null); actionedBy->users.id (onDelete:set null); saleOrderId->orders.id (onDelete:set null),,matchType=[EXACT|CLOSE|HISTORICAL]; userAction=[CREATED_QUOTE|CONTACTED_VENDOR|DISMISSED|NONE],drizzle/schema.ts
noteActivity,Note Activity table,id,noteId->freeformNotes.id (onDelete:cascade); userId->users.id (onDelete:cascade),soft_delete:deletedAt,activityType=[CREATED|UPDATED|COMMENTED|SHARED|ARCHIVED|RESTORED|PINNED|UNPINNED|TEMPLATE_APPLIED],drizzle/schema.ts
noteComments,Note Comments table,id,noteId->freeformNotes.id (onDelete:cascade); userId->users.id (onDelete:cascade),soft_delete:deletedAt,,drizzle/schema.ts
notificationPreferences,Notification preferences table,id,userId->users.id (onDelete:cascade); clientId->clients.id (onDelete:cascade),,recipientType=[user|client],drizzle/schema.ts
notifications,Unified notifications table,id,userId->users.id (onDelete:cascade); clientId->clients.id (onDelete:cascade),,recipientType=[user|client]; type=[info|warning|success|error]; channel=[in_app|email|sms],drizzle/schema.ts
orderAuditLog,UNSPECIFIED,id,,,,drizzle/schema.ts
orderBags,WS-003: Order Bags Table,id,orderId->orders.id (onDelete:cascade); createdBy->users.id,,,drizzle/schema.ts
orderItemBags,WS-003: Order Item Bags Table,id,bagId->orderBags.id (onDelete:cascade); packedBy->users.id,,,drizzle/schema.ts
orderLineItemAllocations,UNSPECIFIED,id,,,,drizzle/schema.ts
orderLineItems,UNSPECIFIED,id,,,marginSource=[CUSTOMER_PROFILE|DEFAULT|MANUAL],drizzle/schema.ts
orderPriceAdjustments,UNSPECIFIED,id,orderId->orders.id (onDelete:cascade); adjustedBy->users.id,,adjustmentType=[ITEM|CATEGORY|ORDER]; adjustmentMode=[PERCENT|FIXED],drizzle/schema.ts
